#ID DescID UPID Flags Uparent_Dist X Y Z VX VY VZ M V MP VMP R Rank1 Rank2 RA RARank SM ICL SFR obs_SM obs_SFR SSFR SM/HM obs_UV
#UniverseMachine Version: 1.0
#Columns:
#ID: Unique halo ID
#DescID: ID of descendant halo (or -1 at z=0).
#UPID: -1 for central halos, otherwise, ID of largest parent halo
#Flags: Ignore
#Uparent_Dist: Ignore
#X Y Z: halo position (comoving Mpc/h)
#VX VY VZ: halo velocity (physical peculiar km/s)
#M: Halo mass (Bryan & Norman 1998 virial mass, Msun)
#V: Halo vmax (physical km/s)
#MP: Halo peak historical mass (BN98 vir, Msun)
#VMP: Halo vmax at the time when peak mass was reached.
#R: Halo radius (BN98 vir, comoving kpc/h)
#Rank1: halo rank in Delta_vmax (see UniverseMachine paper)
#Rank2, RA, RARank: Ignore
#SM: True stellar mass (Msun)
#ICL: True intracluster stellar mass (Msun)
#SFR: True star formation rate (Msun/yr)
#Obs_SM: observed stellar mass, including random & systematic errors (Msun)
#Obs_SFR: observed SFR, including random & systematic errors (Msun/yr)
#SSFR: observed SSFR
#SMHM: SM/HM ratio
#Obs_UV: Observed UV Magnitude (M_1500 AB)
#h = 0.680000
#Omega_Matter = 0.307115
#Omega_Lambda = 0.692885
#Box size: 250.000000 Mpc/h
#Note: all halo masses converted to be in Msun, not Msun/h.
#ID DescID UPID Flags Uparent_Dist X Y Z VX VY VZ M V MP VMP R Rank1 Rank2 RA RARank SM ICL SFR obs_SM obs_SFR SSFR SM/HM obs_UV
444 7591 -1 131 2.000000 21.481119 21.284189 93.813988 -62.630001 34.450001 15.020000 1.367e+09 58.340000 1.367e+09 58.340000 24.473000 -1.402584 -5.612001 0.727540 0.727540 7.337e+01 0.000e+00 4.075e-07 8.172e+01 3.871e-07 4.737e-09 5.366e-08 -2.317
757 7716 -1 131 2.000000 19.273991 60.499088 118.821877 76.629997 -118.919998 27.410000 6.837e+09 120.099998 6.837e+09 120.099998 41.848000 -1.455343 -5.612001 1.122619 1.122619 2.585e-07 0.000e+00 1.436e-15 2.879e-07 1.364e-15 4.737e-09 3.781e-17 18.815
60 7669 -1 131 2.000000 19.566561 59.120892 3.631980 -31.370001 23.379999 43.709999 5.925e+09 93.260002 5.925e+09 93.260002 39.897999 -0.688992 -5.612001 -1.165154 -1.165154 7.457e-05 0.000e+00 4.142e-13 8.306e-05 3.934e-13 4.737e-09 1.259e-14 12.665
61 7672 -1 131 2.000000 19.561119 59.014290 3.133230 -29.139999 51.959999 127.120003 3.874e+09 80.180000 3.874e+09 80.180000 34.630001 -0.222356 0.292673 0.375280 0.375280 1.396e-02 0.000e+00 7.754e-11 1.436e-03 7.366e-11 5.130e-08 3.604e-12 6.984
1520 7851 -1 131 2.000000 5.047650 62.537498 216.605637 -66.820000 43.430000 24.320000 2.963e+09 90.680000 2.963e+09 90.680000 31.667000 -0.518917 -5.612001 -0.007564 -0.007564 3.499e-04 0.000e+00 1.944e-12 3.333e-04 1.846e-12 5.539e-09 1.181e-13 10.987
1521 7851 -1 1 2.195304 5.050820 62.531460 216.674820 -71.699997 29.360001 -44.360001 2.735e+09 70.730003 2.735e+09 70.730003 30.834000 0.200630 5.700492 -1.068524 -1.068524 1.949e-01 0.000e+00 1.083e-09 2.514e-01 1.029e-09 4.091e-09 7.127e-11 4.122
1219 7839 -1 131 2.000000 21.732389 89.430168 177.853134 -97.500000 -4.250000 128.169998 2.051e+09 64.639999 2.051e+09 64.639999 28.014000 -0.387429 -5.612001 -0.243272 -0.243272 3.247e+00 0.000e+00 1.803e-08 3.616e+00 1.713e-08 4.737e-09 1.583e-09 1.068
1540 7865 -1 131 2.000000 7.586910 86.759743 235.811279 21.100000 -62.080002 -76.279999 1.139e+09 52.029999 1.139e+09 52.029999 23.030001 -0.761460 -5.612001 0.213016 0.213016 1.456e+03 0.000e+00 8.086e-06 1.497e+02 7.680e-06 5.130e-08 1.278e-06 -5.561
1880 7912 -1 131 2.000000 15.151320 126.664673 30.866220 39.950001 -65.169998 -5.720000 3.647e+09 75.680000 3.647e+09 75.680000 33.937000 -0.077177 -5.612001 -0.349445 -0.349445 4.462e-02 0.000e+00 2.478e-10 4.970e-02 2.354e-10 4.737e-09 1.223e-11 5.723
6578 8188 -1 131 2.000000 249.089905 168.975906 112.599136 44.529999 56.369999 19.500000 1.824e+09 64.750000 1.824e+09 64.750000 26.936001 -0.369666 -5.612001 0.968363 0.968363 6.674e+00 0.000e+00 3.707e-08 7.434e+00 3.521e-08 4.737e-09 3.660e-09 0.286
1908 8104 -1 131 2.000000 12.160910 180.353775 23.851789 60.380001 -11.340000 -59.770000 9.116e+08 51.650002 9.116e+08 51.650002 21.379000 -0.735413 -5.612001 -1.712351 -1.712351 5.366e+02 0.000e+00 2.980e-06 5.976e+02 2.831e-06 4.737e-09 5.886e-07 -4.477
2538 8271 -1 131 2.000000 20.934000 222.993637 75.237297 -4.550000 -52.610001 69.320000 9.116e+08 53.860001 9.116e+08 53.860001 21.379000 -1.148552 -5.612001 -0.483264 -0.483264 3.272e+02 0.000e+00 1.817e-06 3.644e+02 1.726e-06 4.737e-09 3.589e-07 -3.940
3125 8323 -1 131 2.000000 1.222650 215.721954 173.314987 23.840000 -27.450001 -62.430000 3.418e+09 80.760002 3.418e+09 80.760002 33.214001 -0.234646 -5.612001 -0.632216 -0.632216 6.049e-03 0.000e+00 3.360e-11 6.221e-04 3.192e-11 5.130e-08 1.770e-12 7.892
3157 8427 -1 131 2.000000 16.917910 232.091858 169.215073 55.389999 -185.320007 5.240000 1.596e+09 61.830002 1.596e+09 61.830002 25.763000 -0.720601 -5.612001 -1.840485 -1.840485 3.641e+00 0.000e+00 2.022e-08 3.468e+00 1.921e-08 5.539e-09 2.282e-09 0.944
1556 7887 -1 131 2.000000 23.961849 66.903732 243.519287 -38.980000 66.410004 23.340000 2.507e+09 71.129997 2.507e+09 71.129997 29.952000 0.134693 -5.612001 -1.675194 -1.675194 1.119e-01 0.000e+00 6.216e-10 1.246e-01 5.904e-10 4.737e-09 4.463e-11 4.724
1609 8827 -1 131 2.000000 32.629810 82.170174 220.602570 -92.629997 6.510000 -9.900000 1.596e+09 63.060001 1.596e+09 63.060001 25.763000 -0.564149 -5.612001 -0.348188 -0.348188 5.681e+00 0.000e+00 3.155e-08 6.328e+00 2.997e-08 4.737e-09 3.560e-09 0.460
3002 8083 -1 131 2.000000 29.114840 132.114304 184.664520 -50.330002 17.780001 174.639999 1.596e+09 60.110001 1.596e+09 60.110001 25.763000 -1.122650 -5.612001 1.784454 1.784454 6.834e+01 0.000e+00 3.796e-07 7.612e+01 3.606e-07 4.737e-09 4.283e-08 -2.240
